Intercept;LAI_year;p_year;Rn_year;VPD_year;e_act_year;e_star_year;ET_GF_year;LAI_^2;p_^2;Rn_^2;VPD_^2;e_act_^2;e_star_^2;LAI:p;LAI:Rn;LAI:VPD;LAI:e_act;LAI:e_star;p:Rn;p:VPD;p:e_act;p:e_star;Rn:VPD;Rn:e_act;Rn:e_star;VPD:e_act;VPD:e_star;e_act:e_star;row;col
1;0,572579652;0,034995106;9,034824371;0,12750797;-0,063553073;0,047598879;0,266740739;0,327847458;0,001224657;81,62805142;0,016258282;0,004038993;0,002265653;0,020037486;5,173156595;0,073008469;-0,036389197;0,027254149;0,316174638;0,004462155;-0,002224047;0,001665728;1,152012113;-0,574190855;0,430047508;-0,008103523;0,006069236;-0,003025055;586;684
1;0,466558933;-0,112485588;16,87228203;0,129176863;-0,01157105;0,122428139;2,863544226;0,217677238;0,012653007;284,6739008;0,016686662;0,000133889;0,014988649;-0,052481156;7,871913905;0,060268619;-0,005398577;0,057119942;-1,897888558;-0,014530535;0,001301576;-0,013771401;2,179508456;-0,195230014;2,06564209;-0,001494712;0,015814883;-0,001416622;482;661
1;1,816437721;-0,503548167;3,955307007;0,180603638;-0,046177;0,117609322;4,384027958;3,299445995;0,253560756;15,64445352;0,032617674;0,002132315;0,013831953;-0,914663885;7,184568846;0,328055261;-0,083877644;0,213630009;-1,991687593;-0,090942631;0,023252344;-0,059221959;0,714342836;-0,182644211;0,465180976;-0,008339734;0,021240671;-0,005430846;490;599
1;-0,150260925;-0,129699826;-1,506156921;0,09004578;-0,034898221;0,044082999;-0,391246796;0,022578346;0,016822045;2,268508672;0,008108242;0,001217886;0,001943311;0,019488816;0,226316533;-0,013530362;0,005243839;-0,006623952;0,195348291;-0,011678922;0,004526293;-0,005717557;-0,135623075;0,052562198;-0,066395914;-0,003142438;0,003969488;-0,001538418;206;615
1;0,068268299;-0,16657642;5,358123779;0,173854902;-0,040739179;0,103142381;-1,389087558;0,004660561;0,027747704;28,70949043;0,030225527;0,001659681;0,010638351;-0,011371889;0,365789997;0,011868778;-0,002781194;0,007041355;-0,892537075;-0,028960127;0,006786187;-0,017181088;0,931536087;-0,218285562;0,552649643;-0,007082706;0,017931809;-0,004201936;426;497
1;0,252901316;-0,676471442;0,257034302;0,171354711;-0,083750188;0,097384751;-6,047112465;0,063959075;0,457613612;0,066066632;0,029362437;0,007014094;0,00948379;-0,171080518;0,065004313;0,043335832;-0,021180533;0,024628732;-0,173876365;-0,115916568;0,056654611;-0,065878003;0,044044039;-0,021526671;0,025031221;-0,014350989;0,016687336;-0,008155991;476;523
1;0,179478327;0,031357462;6,587600708;0,059825877;-0,016324818;0,046748668;-1,607977152;0,03221247;0,00098329;43,39648309;0,003579136;0,0002665;0,002185438;0,005627985;1,182331557;0,010737448;-0,002929951;0,008390373;0,206570437;0,001875988;-0,000511905;0,00146592;0,394108992;-0,107541383;0,307961558;-0,000976647;0,00279678;-0,000763164;591;698
1;-0,278538465;-0,151003003;-11,08064016;0,190386474;-0,049397126;0,13655901;-5,321118832;0,077583677;0,022801907;122,7805863;0,03624701;0,002440076;0,018648363;0,042060145;3,086384506;-0,053029956;0,013759;-0,038036937;1,67320994;-0,028748929;0,007459114;-0,020620821;-2,109604011;0,547351776;-1,513161245;-0,009404545;0,025998988;-0,006745623;432;527
1;0,164316495;-0,180708021;0,661697388;0,192004144;-0,089682259;0,101834893;-2,060221434;0,026999911;0,032655389;0,437843433;0,036865591;0,008042908;0,010370345;-0,029693309;0,108727796;0,031549448;-0,014736275;0,016733153;-0,119574025;-0,034696689;0,016206304;-0,018402382;0,127048641;-0,059342517;0,067383883;-0,017219365;0,019552722;-0,009132783;501;549
1;0,986301005;-0,137007833;0,641326904;0,057476993;0,008192182;0,021401644;3,871104717;0,972789672;0,018771146;0,411300198;0,003303605;6,71E-05;0,00045803;-0,135130963;0,63254137;0,056689616;0,008079957;0,021108463;-0,087866809;-0,007874798;-0,001122393;-0,002932193;0,036861542;0,005253866;0,01372545;0,000470862;0,001230102;0,000175326;176;559
1;0,205478668;-0,343775898;10,9708786;0,138756931;-0,034325367;0,093753551;1,789853811;0,042221483;0,118181868;120,3601773;0,019253486;0,001178231;0,008789728;-0,070638614;2,254281524;0,028511589;-0,007053131;0,019264355;-3,771523645;-0,047701289;0,011800234;-0,032230211;1,522285443;-0,376579431;1,028558824;-0,004762883;0,013008955;-0,003218125;449;666
1;-0,018750827;-0,589354187;2,370529175;0,197271109;-0,081947185;0,105203092;-0,892967641;0,000351593;0,347338358;5,619408569;0,03891589;0,006715341;0,011067691;0,011050878;-0,044449381;-0,003698996;0,001536577;-0,001972645;-1,397081295;-0,116262554;0,048295917;-0,062001883;0,467636918;-0,194258193;0,249386999;-0,016165812;0,020753531;-0,008621097;462;504
1;0;-0,328719616;3,428421021;0,071029237;-0,031023622;0,033248663;0;0;0,108056586;11,75407069;0,005045153;0,000962465;0,001105474;0;0;0;0;0;-1,126989241;-0,023348704;0,010198073;-0,010929488;0,24351813;-0,106362036;0,113990415;-0,002203584;0,002361627;-0,001031494;181;582
1;0,810709867;0,182874799;8,183288574;0,158589333;-0,062808506;0,0700517;0,852048576;0,657250488;0,033443192;66,96621189;0,025150577;0,003944908;0,004907241;0,148258404;6,634272788;0,128569937;-0,050919476;0,056791604;1,496517251;0,029001992;-0,011486093;0,012810691;1,297782279;-0,513980131;0,573253275;-0,009960759;0,011109452;-0,004399843;562;668
1;-0,210597515;-0,333443772;-1,399040222;0,171513089;-0,073095641;0,10074079;-4,382461071;0,044351313;0,111184749;1,957313543;0,02941674;0,005342973;0,010148707;0,07022243;0,294634394;-0,03612023;0,01539376;-0,02121576;0,466501248;-0,057189971;0,024373286;-0,033591389;-0,23995371;0,102263742;-0,140940418;-0,012536859;0,017278364;-0,007363713;492;549
1;-0,12286388;-0,686987787;0,053627014;0,183654626;-0,08540675;0,095789015;-4,299707413;0,015095533;0,47195222;0,002875857;0,033729022;0,007294313;0,009175535;0,084405985;-0,006588823;-0,02256452;0,010493405;-0,01176901;-0,036841104;-0,126168485;0,058673395;-0,065805884;0,009848849;-0,004580109;0,005136879;-0,015685345;0,017592096;-0,008181029;477;519
1;2,157534242;-0,631959885;-4,295692444;0,175270736;-0,092827678;0,101409674;-2,92257309;4,654954004;0,399373297;18,45297357;0,030719831;0,008616978;0,010283922;-1,363475092;-9,268103539;0,378152615;-0,200278893;0,218794843;2,714705304;-0,110764074;0,058663369;-0,064086846;-0,752909177;0,398759154;-0,435624769;-0,016269975;0,017774148;-0,009413625;482;522
1;3,114059269;0,224559009;12,26930618;0,099943221;-0,044210628;0,041332841;7,435033321;9,697365134;0,050426749;150,5358742;0,009988647;0,00195458;0,001708404;0,699290064;38,20734665;0,311229113;-0,137674515;0,128712916;2,755183238;0,022443151;-0,009927895;0,009281662;1,226233975;-0,542433727;0,507125281;-0,004418553;0,004130937;-0,001827351;570;652
1;-0,409082816;-0,172270685;1,239944458;0,175149515;-0,045330763;0,108469345;-1,87421906;0,167348751;0,029677189;1,537462259;0,030677353;0,002054878;0,011765599;0,070472977;-0,507239971;-0,071650657;0,018544036;-0,044372945;-0,213606082;-0,030173127;0,007809162;-0,018686088;0,217175671;-0,056207628;0,134495964;-0,007939661;0,018998353;-0,004916998;428;496
1;0,378976464;-0,243094734;-6,719752225;0,269488394;-0,134543777;0,136351287;-5,79740715;0,14362316;0,05909505;45,15506997;0,072623995;0,018102028;0,018591674;-0,092127183;-2,546627939;0,102129759;-0,050988925;0,051673929;1,633536378;-0,065511209;0,032706884;-0,03314628;-1,810895237;0,904100842;-0,916246867;-0,036257986;0,036745089;-0,018345217;539;511
1;-0,16438365;-0,477599427;1,081123352;0,204637349;-0,107448041;0,099663897;-3,064829826;0,027021984;0,228101213;1,168827702;0,041876444;0,011545082;0,009932892;0,078509537;-0,177719003;-0,033639034;0,017662701;-0,016383115;-0,516343894;-0,09773468;0,051317123;-0,04759942;0,221238216;-0,116164587;0,107748966;-0,021987882;0,020394956;-0,010708691;499;527
1;0,074893236;-0,480195165;3,922195435;0,227989554;-0,125238329;0,097706744;-3,336605072;0,005608997;0,230587396;15,38361703;0,051979237;0,015684639;0,009546608;-0,03596337;0,293745909;0,017074876;-0,009379504;0,007317574;-1,883419283;-0,109479482;0,06013884;-0,046918306;0,894219589;-0,491209203;0,383224944;-0,028553031;0,022276117;-0,012236629;501;485
1;1,165984869;0,205243975;11,52694702;0,112541339;-0,034963814;0,083490014;4,508888245;1,359520715;0,042125089;132,8705076;0,012665553;0,001222468;0,006970582;0,239311369;13,44024581;0,131221499;-0,040767278;0,097348093;2,365836425;0,023098432;-0,007176112;0,017135822;1,297258055;-0,403026028;0,962384969;-0,003934874;0,009396078;-0,002919129;580;695
1;0,358655236;-0,134552836;14,95305379;0,155261099;-0,019635558;0,103341554;0,723948419;0,128633578;0,018104466;223,5938177;0,024106009;0,000385555;0,010679477;-0,048258079;5,362991037;0,055685206;-0,007042396;0,037063989;-2,011975801;-0,020890821;0,00264202;-0,013904899;2,32162757;-0,293611557;1,545271814;-0,003048638;0,016044923;-0,002029169;462;665
1;-0,322896583;-0,354731902;8,934860229;0,221331418;-0,096369386;0,105125351;-0,267702699;0,104262203;0,125834723;79,83172732;0,048987596;0,009287059;0,011051339;0,114541719;-2,885035835;-0,071467158;0,031117345;-0,033944616;-3,169479968;-0,078513315;0,034185296;-0,037291316;1,97756528;-0,861046992;0,939280314;-0,021329573;0,023267543;-0,010130865;478;487
